"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","BulkDryL","BulkDryW","BulkDryH"
"31","VOTU",1,"VOTU1","","6/7/2019","11:29",5.9,6.7,7.2,6.6,25,27.5,30,27.5,150,30.5,0.796666667,26.63,8.11,403.2,404.9,486.7,454.7,357.2,549,0.106508876,0.108108108,307,645,978,1,0.107308492,0.001788475,26.53296656,"",11.4183333333333,3.78833333333333,1.33666666666667,0.32,0.913333333333333,8.13666666666667,2.23166666666667,2.65833333333333,0.251666666666667,0.3135,30.7046100366667,105.516457163333,106.940217160002,38.9916885837928,13.7179985956385,23429.8226632761,78.9839484623401,34.7474865789085,34.6758433605906,30968.0579551849,9.288,2.024,1.388
"32","STRO",2,"STRO2","","6/7/2019","11:48",2.7,3.4,2.9,3,0,0,0,0,150,146.2,0.025333333,0,0.098,36.01,25.17,25.14,25.17,25.17,29.33,0,0,NA,NA,NA,1,0,0,0,"",1.65,0.93,0.1325,0.165,0.0875,1.475,0.755,0.185,0.12,0.01,1.07806236,109.072588755,15.0991116920043,8.69075370554581,2.40540785745775,183.340789147595,13.2399393876558,7.17212892383592,2.1960111428325,105.930494570764,1.346,0.67,0.22
"33","TAGU",1,"TAGU1","","6/7/2019","12:03",5.9,6,5.7,5.866666667,25,27.5,25,25.83333333,150,13.9,0.907333333,17.75,10.55,466.8,449.2,493.3,441.2,270.6,679.8,0.134328358,0.132841328,290,558,829,1,0.133584843,0.002226414,37.61829635,"",12.0966666666667,3.74166666666667,1.63,0.211666666666667,0.733333333333333,11.5083333333333,2.95166666666667,1.475,0.161666666666667,0.525666666666667,35.314696395,72.4349848233333,108.480609620238,36.6784189246801,26.7752261040962,44928.7913554929,108.445230441059,32.7514847800467,16.4976047111911,26109.3355986315,10.786,3.24,3.208
"34","SIGU",1,"SIGU1","","6/7/2019","12:24",12.8,12.6,13.5,12.96666667,80,82.5,77.5,80,150,7.9,0.947333333,48.82,29.31,513.8,542.6,561,690.2,571.3,673.2,0.43373494,0.43902439,84,167,249,1,0.436379665,0.007272994,128.3046497,"",15.1816666666667,5.99,1.64166666666667,0.241666666666667,0.655,13.04,3.78833333333333,2.505,0.173333333333333,0.4514,57.2323706016667,121.194160846,139.718911501189,62.2694327622092,21.7172046716052,72352.021911028,116.875513285294,37.8675690782999,27.1663541926386,45816.9471545124,13.46,5.3,2.604
"35","ZETU",1,"ZETU1","yes","6/10/2019","8:46",18.9,21.5,19.6,20,105,105,105,105,150,10.6,0.929333333,58.83,33.79,642.7,715.5,713.9,661.3,532.4,766.3,1.2,1.24137931,90,120,149,1,1.220689655,0.020344828,352.0885085,"large leaf volume lead to unatural packing/dring",15.6066666666667,8.80666666666667,0.951666666666667,0.225,0.703333333333333,13.775,7.48166666666667,2.384,0.176666666666667,0.410833333333333,92.18619556,224.11470775,149.156710412041,91.052730079962,16.3653945619607,82929.7964956232,129.774572729003,78.708441211868,28.5973435808465,117296.752312224,32.86,11.32,9.18
"36","MABR",1,"MABR1","","6/10/2019","9:09",4.3,4.2,3.6,4.033333333,20,20,17.5,19.16666667,150,70,0.533333333,13.32,5.054,347.2,283.4,345.6,464.8,275.1,513.6,0.155172414,0.161434978,333,565,788,1,0.158303696,0.002638395,26.20383485,"",7.065,2.12,0.6,0.2475,0.32,5.33253802325,2.28074322225,0.75400828875,0.235,0.11225,9.24033994225,83.982559405,54.3540852885728,22.9142122344507,7.73745583023872,4098.21501779484,49.2447878671871,23.1387823766356,8.29270713174142,3430.4415762047,4.868,1.408,0.416
"37","ASTO",3,"ASTO3","","6/10/2019","9:26",8,8.6,7.7,8.1,65,57.5,65,62.5,150,9.9,0.934,48.83,21.28,597.4,542.3,601.5,517.6,440,673,0.230769231,0.270676692,139,295,428,1,0.250722961,0.004178716,72.68019046,"",15.62,6.77,2.375,0.403333333333333,0,14.3116666666667,5.66333333333333,2.405,0.323333333333333,1.10416666666667,68.2267930533333,64.4571149266667,148.49090457424,65.4266864218102,29.9869707092448,114080.650474993,134.960123627639,63.5606576271896,29.6267914739878,96916.5312869441,15.6033333333333,5.28,4.05333333333333
"38","TAAU",1,"TAAU1","","6/10/2019","9:46",9,9,8.5,8.833333333,52.5,47.5,55,51.66666667,150,8.2,0.945333333,41.06,27.54,549.7,578.6,605.8,586.5,496.3,675.7,0.21686747,0.36,170,336,436,1,0.288433735,0.004807229,84.62644501,"",19.63,7.94833333333333,2.105,0.511666666666667,4.575,14.09,5.03333333333333,4.52833333333333,0.373333333333333,1.81633333333333,82.123061565,55.25195175,186.180577285731,78.8467337854261,27.1037065378524,182474.340726027,122.452890688242,68.3618260975859,51.2162320782645,158536.747187772,18.3,7.49,3.71
"39","MILI",1,"MILI1","","6/10/2019","10:01",3.7,3.8,3.3,3.6,0,0,0,0,150,149.7,0.002,0,0.059,25.41,21.21,21.21,21.21,22.89,28.74,0,0,NA,NA,NA,1,0,0,0,"power off does not = smoldering",7.0275,2.8725,0.52375,0.2325,0.57125,6.1875,2.00125,0.8575,0.17875,0.154125,14.7009144465,111.966516181667,61.0328080863017,27.9880692167772,7.014306298572,5062.24459040877,52.2630969308275,22.5368639743328,11.3736173280782,5787.64775353138,6.042,2.548,1.54
"40","ERTO",1,"ERTO1","","6/10/2019","10:18",10.7,10.3,13.1,11.36666667,62.5,67.5,65,65,150,5.4,0.964,66.58,28.01,508.6,564.6,681.8,637.5,544.6,744.4,0.295081967,0.45,159,281,361,1,0.372540984,0.006209016,111.4618284,"",13.91,3.93833333333333,2.04166666666667,0.238333333333333,0.353333333333333,13.25,2.38833333333333,1.795,0.2,0.558666666666667,41.5663326366667,74.92175931,132.892132821627,40.2433081151967,21.3834005471493,43718.9876590174,127.293850360363,29.3525409874327,21.6102624063742,32047.3145385275,12.34,2.49,3.188
"41","MYTO",1,"MYTO1","","6/10/2019","10:33",5.3,5,5,5.1,18.5,17.5,21.5,19.16666667,150,18.7,0.875333333,19.97,11.04,349.6,367.6,470.5,356.2,317.1,592.7,0.104956268,0.248275862,357,700,845,1,0.176616065,0.002943601,47.9820439,"",9.405,4.10166666666667,1.56333333333333,0.298333333333333,1.04166666666667,8.64,3.31,1.77166666666667,0.238333333333333,0.392,26.72072314,69.329943735,86.5264478415526,39.5069633066057,16.4944935143163,19061.6657746503,78.7915313993854,35.9941475984009,19.7875572353207,21572.4892830296,NA,NA,NA
