"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","Comments","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","Ind","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","IndCode"
"24","AMIN3-2","AMIN",10.48,3.13,1.54,0.27,1.03,9.23,1.66,1.18,0.14,0.261,22.84138801,87.51489659,"",88.1071746677174,31.3584785804312,12.8720839665047,12442.566029463,78.8060306834581,21.7707701858768,14.7600692710901,12.2725350518044,"AMIN3",0.61671747627,20175.4717649928,47.021207095036,35.1757375354,50.515696,4.7792664719599,0.246899813375776,0.0482632816228161,0.484851494999103,0.000112421802505513,3.91430709066113,0.301458207715812,0.0589282032155848,0.404591891368941,0.000112421802505513,9.23,0.127843986998917,0.0249905832813308,0.221110161634432,"AMIN3"
"25","ANCA1-1","ANCA",14.83,4.47,2.71,0.17,2.66,13.75,3.42,1.46,0.19,0.491,51.92993198,105.7636089,"",134.775136850916,50.1954555715651,18.0007570306071,53986.4765061258,126.242946477246,37.3169309611971,14.6700822592695,26.3994056999284,"ANCA1",0.88280884366,61153.076222374,53.7666103868196,140.7301156658,179.646171,7.20624257016096,0.202602116954188,0.0413195744298775,0.524468550444343,7.05452082087076e-05,6.85747767039748,0.212906271106439,0.0434210493346395,0.464198775811959,7.05452082087076e-05,13.75,0.106181818181818,0.0216551909990922,0.254851489880151,"ANCA1"
"26","ANCA1-2","ANCA",14.83,4.59,2.04,0.18,1.82,5.21,4.36,2.14,0.16,0.402,42.92808619,106.786284,"",125.123802428339,46.4649014612221,10.0197508262695,22243.6772084183,125.870675823553,42.2465364140477,22.3434138788376,40.563976098032,"ANCA1",0.77270555142,28786.7444041797,100.905413179184,87.5732958276,138.862188,6.5519528531576,0.326620176909342,0.0524416171625556,0.429237935846616,0.000144220908561404,4.76608854302981,0.449005506439794,0.0720916114105553,0.340872482185621,0.000144220908561404,5.21,0.410748560460653,0.0659491368891371,0.189639023496542,"ANCA1"
"27","ANCA2-1","ANCA",20.3,4.47,3.16,0.17,2.41,17.8,3.26,1.88,0.25,0.578,59.44712125,102.8496907,"",172.320983790601,44.9624273788716,19.0995527746906,59310.011783758,165.696906616292,38.169393641009,21.6293544937274,54.110422462351,"ANCA2",1.01060106125,58687.8582043029,93.6166478587388,187.85290315,286.74156,7.71019592812011,0.24383297357508,0.0490563118436601,0.505798172445149,0.000118055080528939,7.61761117411489,0.246796529388157,0.0496525442399634,0.409393449623258,0.000118055080528939,17.8,0.10561797752809,0.0212490885295269,0.192108522642226,"ANCA2"
"28","ANCA2-2","ANCA",14.05,3.08,1.06,0.21,2.21,11.46,3.08,1.65,0.24,0.267,31.52180076,118.0591789,"",124.288941512172,34.4346919313945,13.3377483267812,23748.2774160852,108.20073857136,32.8217332658935,21.9929305153761,24.4057585184647,"ANCA2",0.66195781596,35875.8169229325,91.4073352751487,33.4131088056,45.87044,5.61442791030395,0.293885686370969,0.0516644638435986,0.511962944270317,0.000137903656107008,5.94111100721069,0.277725832423835,0.0488235967014145,0.436948766284935,0.000137903656107008,11.46,0.143979057591623,0.0253112048668751,0.204582138316915,"ANCA2"
"29","ANCA3-1","ANCA",13.66,4.22,0.92,0.19,0.99,12.19,3.86,2.19,0.18,0.382,39.78766236,104.1561842,"",135.118918555821,49.0418572883496,11.1024029790953,28854.5356790884,107.334826903737,39.7751845022914,22.7689757352281,32.9886695182569,"ANCA3",0.75596558484,38169.1127979,86.3577736080023,36.6046493712,53.033584,6.30774621873772,0.34719215454395,0.0508448989015077,0.486254706718657,0.000131444423018963,6.85954809007124,0.319263014304089,0.0467547883004573,0.403976828071208,0.000131444423018963,12.19,0.179655455291222,0.0263098210654706,0.224536697485214,"ANCA3"
"30","ANCA3-2","ANCA",13.04,4.07,2.01,0.2,1.56,12.49,3.62,1.73,0.21,0.299,35.43641658,118.5164434,"",112.544749482295,43.1966225325439,15.6302301610205,28105.3417382196,113.687672745979,37.1861919368974,17.1693798056391,22.9764442935618,"ANCA3",0.7087283316,39656.0155493854,76.8442952961933,71.2271973258,106.676328,5.95284945047328,0.290617126200371,0.047756890418918,0.510745706157938,0.000108920122933885,6.72412076036711,0.257282708275684,0.0422790709771618,0.417343470449742,0.000108920122933885,12.49,0.138510808646918,0.0227613754112545,0.233158918422842,"ANCA3"
"31","ANCA3-3","ANCA",12.35,4.38,2.1,0.2,1.38,11.35,4.16,1.37,0.18,0.373,36.91576846,98.96988864,"",NA,NA,NA,NA,105.586689194244,42.8227771309293,17.3206792052269,28.7832731600232,"ANCA3",0.7383153692,NA,77.166952171644,77.523113766,113.5953,6.07583479531825,0.225483418518169,0.0504398867804162,NA,0.000128328261028318,6.87138996128149,0.199377419666122,0.0446000621270535,NA,0.000128328261028318,11.35,0.120704845814978,0.0270012704116622,NA,"ANCA3"
"32","ANCA3-4","ANCA",14.32,4.53,1.55,0.18,1.4,12.93,4.11,1.39,0.19,0.447,44.49302929,99.53697828,"",128.076965143757,46.4870109781066,13.7358591422904,31074.543678056,123.714018336094,42.649343105935,18.4396385794918,35.2605249057719,"ANCA3",0.80087452722,38800.7641920166,78.882606053181,68.9641953995,100.54788,6.67030953479672,0.208386131520411,0.049160573042617,0.471326941897806,0.000118809401970334,7.28987654216448,0.19067538276681,0.0449824132419223,0.390344121433079,0.000118809401970334,12.93,0.107501933488012,0.025360884694682,0.219545851574547,"ANCA3"
"33","ANCR1-1","ANCR",10.52,4.72,2.54,0.31,0.79,9.92,5.11,1.49,0.16,0.685,41.4602755,60.52594964,"",98.5305041527606,48.8725055087028,25.7590256005263,39933.5924629091,94.3346176431314,50.7169754263607,15.8243282697004,30.6301026440358,"ANCR1",1.2852685405,31070.2325658527,44.715478312461,105.30909977,126.122176,6.43896540602603,0.2314036349078,0.048592218293105,0.530839667759576,0.000114736124587189,7.11977527735251,0.209276268134415,0.0439457146332453,0.485065728391015,0.000114736124587189,9.92,0.150201612903226,0.0315406867531621,0.324910480689189,"ANCR1"
