"","filename","Species","IndCode","IndLeafCode","Dry","length","width","height","hull_volume"
"159","caad1-2dry.xyz","CAAD","CAAD1","CAAD1-2","Yes",80.3137813007119,24.9314585101284,15.5663263040891,10910.7812163854
"160","caad2-1.xyz","CAAD","CAAD2","CAAD2-1","No",70.8322294064865,36.3722271035495,17.2145629689184,14131.4106565554
"161","caad2-1dry.xyz","CAAD","CAAD2","CAAD2-1","Yes",65.3479484419532,13.8830856874967,10.8908528333513,5248.123589293
"162","caad2-2.xyz","CAAD","CAAD2","CAAD2-2","No",82.8637334203249,33.7584113943473,12.2890711993673,12310.3284874943
"163","caad2-2dry.xyz","CAAD","CAAD2","CAAD2-2","Yes",74.598169117385,29.7697029165374,17.6210724085338,12122.8970436922
"164","caad3-1.xyz","CAAD","CAAD3","CAAD3-1","No",77.9097238853635,31.3438515959303,8.30011430654885,7735.42916663759
"165","caad3-1dry.xyz","CAAD","CAAD3","CAAD3-1","Yes",63.9812479925881,21.8097897210823,15.0929839177299,9901.11294829076
"166","caad3-2.xyz","CAAD","CAAD3","CAAD3-2","No",67.0321023777103,33.1826983240057,21.4241371655845,11889.8257580695
"167","caad3-2dry.xyz","CAAD","CAAD3","CAAD3-2","Yes",55.906970947969,24.5891167292494,14.9631743461607,8062.92349186214
"168","cabr1-1.xyz","CABR","CABR1","CABR1-1","No",108.146654222898,73.0875863364572,30.3669531235703,103197.705709235
"169","cabr1-1dry.xyz","CABR","CABR1","CABR1-1","Yes",103.245500411825,77.9066733446121,25.3266967765024,85464.8557611862
"170","cabr1-2.xyz","CABR","CABR1","CABR1-2","No",167.805698892463,123.140661694391,54.5937340659122,383221.062968156
"171","cabr1-2dry.xyz","CABR","CABR1","CABR1-2","Yes",149.020189580545,105.636679904227,40.9770308603523,269723.075395646
"172","cabr2-1.xyz","CABR","CABR2","CABR2-1","No",133.692278550046,113.709876143727,40.8818699975633,231144.046165675
"173","cabr2-1dry.xyz","CABR","CABR2","CABR2-1","Yes",119.102028906739,99.3354820578423,25.650014835158,127374.288070395
"174","cabr2-2.xyz","CABR","CABR2","CABR2-2","No",108.978188045,78.7923147828462,62.8185457605586,173907.462750977
"175","cabr2-2dry.xyz","CABR","CABR2","CABR2-2","Yes",108.470005334381,69.3667920155684,46.5053207494574,143506.006621261
"176","cabr3-1.xyz","CABR","CABR3","CABR3-1","No",171.247258663033,87.0802967146909,68.8972293711832,353104.740848971
"177","cabr3-1dry.xyz","CABR","CABR3","CABR3-1","Yes",178.440273260034,111.408411268588,36.2788930484502,292617.138888865
"178","cabr3-2.xyz","CABR","CABR3","CABR3-2","No",104.724708319934,64.0467685191332,16.341480981319,43959.6950931928
"179","cabr3-2dry.xyz","CABR","CABR3","CABR3-2","Yes",110.061425521471,52.4323123902985,26.7674729340132,68786.5195798227
"180","cagu1-1.xyz","CAGU","CAGU1","CAGU1-1","No",97.3274000331557,39.3175304311453,12.4687825297943,17104.6361636509
"181","cagu1-1dry.xyz","CAGU","CAGU1","CAGU1-1","Yes",92.600866470118,17.2241285292357,13.1559870088054,9846.34297962521
"182","cagu1-2.xyz","CAGU","CAGU1","CAGU1-2","No",66.6779106230935,29.3594563605672,11.3544071306839,7736.25320975979
"183","cagu1-2dry.xyz","CAGU","CAGU1","CAGU1-2","Yes",63.32059389255,21.5538376548962,9.96731687709496,5090.9555203689
"184","cagu2-1.xyz","CAGU","CAGU2","CAGU2-1","No",111.486395625314,58.7978321773056,29.2240529013562,74043.3107277694
"185","cagu2-1dry.xyz","CAGU","CAGU2","CAGU2-1","Yes",117.110992084819,40.9907652144447,19.5141817102046,34322.0165305415
"186","cagu2-2.xyz","CAGU","CAGU2","CAGU2-2","No",120.878294544549,55.9463541315475,25.5667915440952,62550.9651552619
"187","cagu2-2dry.xyz","CAGU","CAGU2","CAGU2-2","Yes",107.583139724976,34.7924280078147,25.087799682222,35176.6026202674
"188","cagu3-1.xyz","CAGU","CAGU3","CAGU3-1","No",104.366527442915,52.6559005735512,17.3006604180571,34754.6252454961
"189","cagu3-1dry.xyz","CAGU","CAGU3","CAGU3-1","Yes",103.317119310623,31.3736394947647,27.2989089658057,30453.7518335405
"190","cagu3-2.xyz","CAGU","CAGU3","CAGU3-2","No",110.697413372144,41.199035735133,16.197427800821,22291.0455941749
"191","cagu3-2dry.xyz","CAGU","CAGU3","CAGU3-2","Yes",107.805874780013,25.6779012881073,17.3073780638318,19460.7511935616
"192","casyf1-1.xyz","CASYf","CASYf1","CASYf1-1","No",94.8800373962388,23.8350226685568,13.4708532706911,11251.5820058452
