"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"90","CABR2-2","CABR",11.6,10.2,4.88,0.41,0.28,"YES","YES","CABR2-2",9.65,5.14,4.63,0.41,"YES",1.577,1347521,96.59629426,61.25319864,"",NA,NA,NA,NA,"S"
"91","CABR3-1","CABR",20.4,11.4,3.48,0.34,1.26,"YES","YES","CABR3-1",19.1,11.1,2.36,0.55,"YES",2.08,2194474,157.3096495,75.6296392,"",NA,NA,NA,NA,"S"
"92","CABR3-2","CABR",12.7,7.5,1.54,0.37,0.6,"YES","YES","CABR3-2",11.57,4.92,2.45,0.37,"YES",0.791,886696,63.56231015,80.35690285,"",NA,NA,NA,NA,"S"
"93","CAGU1-1","CAGU",10.56,3.8,0.75,0.18,0.22,"YES","YES","CAGU1-1",10.11,1.7,1.3,0.18,"YES",0.208,377616,27.06919317,130.1403518,"",NA,NA,NA,NA,"F"
"94","CAGU1-2","CAGU",7.12,2.81,1.11,0.29,0.55,"YES","YES","CAGU1-2",6.96,1.98,1.07,0.35,"YES",0.105,201788,14.46506068,137.7624826,"",NA,NA,NA,NA,"F"
"95","CAGU2-1","CAGU",12.31,5.52,2.22,0.24,0.93,"YES","YES","CAGU2-1",12.35,4.23,2.1,0.24,"YES",0.502,719834,51.60090038,102.7906382,"",NA,NA,NA,NA,"F"
"96","CAGU2-2","CAGU",12.71,5.23,2.89,0.16,0.86,"YES","YES","CAGU2-2",11.39,3.13,2.45,0.27,"YES",0.478,710692,50.94556119,106.5806719,"",NA,NA,NA,NA,"F"
"97","CAGU3-1","CAGU",12.06,5.46,1.4,0.18,1.25,"YES","YES","CAGU3-1",10.87,2.3,2.04,0.31,"YES",0.296,674759,48.36972405,163.4112299,"",NA,NA,NA,NA,"F"
"98","CAGU3-2","CAGU",12.32,4.58,1.65,0.21,0.95,"YES","YES","CAGU3-2",11.49,2.33,2.12,0.3,"YES",0.43,576112,41.29826866,96.04248525,"",NA,NA,NA,NA,"F"
"99","CASYf1-1","CASYf",10.1,2.4,NA,NA,NA,NA,"YES","CASYf1-1",9.61,1.09,0.95,0.2,"YES",0.147,NA,NA,NA,"",NA,NA,NA,NA,"F"
"100","CASYf1-2","CASYf",9.4,2.7,NA,NA,NA,NA,"YES","CASYf1-2",8.59,1.71,1.54,0.15,"YES",NA,NA,NA,NA,"",NA,NA,NA,NA,"F"
"101","CASYf2-1","CASYf",9.99,3.09,1.66,0.14,0.45,"YES","YES","CASYf2-1",9.46,1.42,0.96,0.13,"YES",0.22,326412,23.39866288,106.3575585,"",NA,NA,NA,NA,"F"
"102","CASYf2-2","CASYf",8.05,2.78,1.09,0.13,0.53,"YES","YES","CASYf2-2",7.73,1.24,0.98,0.12,"YES",0.15,240426,17.23480424,114.8986949,"",NA,NA,NA,NA,"F"
"103","CASYf3-1","CASYf",7.94,2.42,0.55,0.15,0.53,"YES","YES","CASYf3-1",6.37,1.22,0.94,0.14,"YES",0.094,172721,12.38140893,131.7171163,"",NA,NA,NA,NA,"F"
"104","CASYf3-2","CASYf",7.42,2.53,1.3,0.18,0.35,"YES","YES","CASYf3-2",6.84,1.2,1.07,0.13,"YES",0.128,184054,13.19380874,103.0766308,"",NA,NA,NA,NA,"F"
"105","CASYs1-1","CASYs",9.7,1.79,0.86,0.11,0.46,"YES","YES","CASYs1-1",9.39,1.77,1.01,0.33,"YES",0.166,207959,14.90742538,89.80376736,"",NA,NA,NA,NA,"S"
"106","CASYs1-2","CASYs",7.94,1.37,1.22,0.12,0.51,"YES","YES","CASYs1-2",7.83,1.22,0.94,0.19,"YES",0.118,146207,10.48076757,88.82006414,"",NA,NA,NA,NA,"S"
"107","CASYs2-1","CASYs",7.56,1.9,1.6,0.23,0.4,"YES","YES","CASYs2-1",7.37,1.53,1.38,0.24,"YES",0.145,173897,12.46570984,85.97041266,"",NA,NA,NA,NA,"S"
"108","CASYs2-2","CASYs",6.29,1.5,1.37,0.17,0.55,"YES","YES","CASYs2-2",6.48,0.93,0.99,0.17,"YES",0.091,112692,8.078263413,88.77212542,"",NA,NA,NA,NA,"S"
