Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
AMIN,1,,,6/14/2019,10:57,8.8,9.3,10.2,9.433333333,62.5,52.5,55,56.66666667,150,5.6,0.962666667,53.26,24.44,503.4,483.5,547.4,698.4,563.4,712.2,NA,NA,NA,NA,NA,1,NA,0.00375,67.22542,Data calculated from Table 2 [sf 6/17]
MIAL,1,,,6/14/2019,11:18,5.6,4.4,4,4.666666667,15.5,16.5,21.5,17.83333333,1500,41.7,0.9722,11.1,5.45,363.6,368.6,598.6,508.3,196.4,560.2,NA,NA,NA,NA,NA,1,NA,0.001818182,32.91692766,Data calculated from Table 2 [sf 6/17] started a few seconds after ignition
CASYf,2,,,6/17/2019,8:21,6,6.4,6.6,6.333333333,30,27.5,37.5,31.66666667,150,17.6,0.882666667,26.64,9.85,535.1,545.6,388.7,516.1,415.2,564.7,0.132,0.112,258,530,852,1,0.122,0.002033333,33.42193796,
GOBA,2,,,6/17/2019,8:41,10.5,10.8,11,10.76666667,75,77.5,85,79.16666667,150,5.5,0.963333333,62.16,28.2,550.4,548.9,630.5,608,636.9,732.4,0.34,0.319,138,244,357,1,0.3295,0.005491667,98.51607006,
TEGL,2,,,6/17/2019,8:54,5.8,6.3,5.7,5.933333333,27.5,32.5,31.5,30.5,150,9.5,0.936666667,26.64,9.15,474.7,452.3,489.2,469.9,433.9,662.7,0.195,0.12,391,576,875,1,0.1575,0.002625,45.7868425,
PLEL,2,,,6/17/2019,9:18,3.4,3.3,3.8,3.5,10,9,13.5,10.83333333,150,81.3,0.458,6.658,2.399,176.3,211.3,343.9,261.7,100.9,513.4,0,0.087,0,714,1130,1,0.0435,0.000725,6.1834351,irregular flamefront
VOTU,2,,,6/17/2019,9:35,6.2,6.3,5.8,6.1,27.5,30,30,29.16666667,150,35.8,0.761333333,15.54,11.72,313.5,511.8,503.1,453.4,406.1,591.6,0.122,0.109,364,660,989,1,0.1155,0.001925,27.29178247,
PEOB,1,,,6/17/2019,9:49,4.7,4.8,4.9,4.8,45,42.5,55,47.5,150,18.5,0.876666667,26.63,17.11,446.9,494.9,455.8,430.9,393.9,614,0.218,0.162,281,446,668,1,0.19,0.003166667,51.69674111,
SIGU,3,,,6/17/2019,10:14,14.7,16.8,17,16.16666667,80,77.5,82.5,80,150,7.7,0.948666667,66.58,30.74,693.2,672.2,628.8,735.6,483.3,709.5,0.383,0.581,140,234,296,1,0.482,0.008033333,141.9174344,
ERDE,1,,,6/17/2019,10:30,3.1,4,3.6,3.566666667,11,25,15,17,150,25.5,0.83,17.75,6.177,428.3,525.1,396.3,487.6,339.5,565,0.082,0.075,1008,1445,1927,1,0.0785,0.001308333,20.22194017,
MIAL,2,,,6/17/2019,10:52,6,5.2,5.7,5.633333333,35,22.5,27.5,28.33333333,150,18.2,0.878666667,23.3,7.122,561.8,390.5,486.9,403.4,249.8,593.8,0.114,0.123,394,710,1002,1,0.1185,0.001975,32.31599807,
