Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Machaerium brasiliense,MABR,2,RR10415,48.52,2.95,0.102,0.394,0.503,0.246,115,116,
Machaerium brasiliense,MABR,3,RR10416,48.31,2.91,0.106,0.387,0.529,0.289,107,114,
Matayba elaeagnoides,MAEL,1,RR10417,49.72,1.45,0.096,0.555,0.338,0.324,65,74,
Matayba elaeagnoides,MAEL,2,RR10418,50.07,1.42,0.089,0.299,0.672,0.383,56,60,
Matayba elaeagnoides,MAEL,3,RR10419,47.46,1.22,0.075,1.065,1.032,0.215,82,88,
Miconia albicans,MIAL,1,RR10420,47.12,1.10,0.060,0.313,0.251,0.108,59,3798,
Miconia albicans,MIAL,2,RR10421,47.57,1.35,0.069,0.519,0.153,0.110,103,3478,
Miconia albicans,MIAL,3,RR10422,48.09,1.17,0.051,0.309,0.184,0.078,111,2477,
Miconia ligustroides,MILI,1,RR10423,47.29,1.50,0.047,0.379,0.717,0.301,88,10300,
Miconia ligustroides,MILI,2,RR10424,45.60,1.59,0.058,0.479,0.473,0.310,80,14062,
Miconia ligustroides,MILI,3,RR10425,48.35,1.86,0.076,0.573,0.262,0.218,51,3954,
Myrcia fallax,MYFA,1,RR10426,45.52,1.52,0.066,0.234,0.430,0.165,100,146,
Myrcia fallax,MYFA,2,RR10427,46.95,1.36,0.063,0.246,0.279,0.141,86,110,
Myrcia fallax,MYFA,3,RR10428,46.54,1.46,0.074,0.360,0.263,0.149,116,146,
Rapanea ferruginea,MYFE,1,RR10429,49.39,1.89,0.113,1.141,0.704,0.175,75,76,
Rapanea ferruginea,MYFE,2,RR10430,48.15,2.21,0.125,1.095,0.674,0.236,76,64,
Rapanea ferruginea,MYFE,3,RR10431,50.96,1.20,0.071,0.764,0.442,0.127,67,63,
Myrcia lingua,MYLI,1,RR10432,40.78,1.22,0.056,0.200,0.464,0.280,102,135,
Myrcia lingua,MYLI,2,RR10433,43.99,1.21,0.058,0.255,0.478,0.290,78,85,
Myrcia lingua,MYLI,3,RR10434,44.88,1.32,0.080,0.412,0.215,0.155,52,46,
Myrcia multiflora,MYMU,1,RR10435,47.65,1.48,0.089,0.542,0.348,0.233,88,102,
Myrcia multiflora,MYMU,2,RR10436,47.46,1.52,0.091,0.587,0.380,0.270,82,89,
Myrcia multiflora,MYMU,3,RR10437,47.22,2.02,0.106,0.798,0.358,0.224,69,85,
Myrcia tomentosa,MYTO,1,RR10438,46.01,1.39,spilled,-------------,-------------,-------------,-------------,-------------,
Myrcia tomentosa,MYTO,2,RR10439,45.39,1.42,0.072,0.218,0.952,0.238,89,160,
Myrcia tomentosa,MYTO,3,RR10440,46.28,1.44,0.077,0.598,0.546,0.148,108,166,
Myrcia venulosa,MYVE,1,RR10441,45.79,1.55,0.061,0.377,0.294,0.181,148,158,
Myrcia venulosa,MYVE,2,RR10442,48.74,1.64,0.062,0.318,0.164,0.149,79,85,
Myrcia venulosa,MYVE,3,RR10443,48.99,1.53,0.065,0.253,0.309,0.231,79,80,
Nectandra cuspidata,NECU,1,RR10444,48.55,1.94,0.091,0.446,1.087,0.183,100,167,
Nectandra cuspidata,NECU,2,RR10445,50.29,2.42,0.089,0.302,0.499,0.197,148,235,
Nectandra cuspidata,NECU,3,RR10446,50.97,2.60,0.107,0.492,0.254,0.171,155,214,
Ocotea corymbosa,OCCO,1,RR10447,52.43,1.92,0.079,0.355,0.347,0.180,61,101,
Ocotea corymbosa,OCCO,2,RR10448,51.35,1.56,0.071,0.257,0.533,0.241,65,104,
Ocotea corymbosa,OCCO,3,RR10449,51.29,1.89,0.076,0.256,0.612,0.199,63,106,
Ocotea minarum,OCMI,1,RR10450,49.30,2.17,0.106,1.488,0.274,0.229,106,192,
Ocotea minarum,OCMI,2,RR10451,49.64,2.06,0.124,1.386,0.314,0.237,110,216,
Ocotea minarum,OCMI,3,RR10452,48.69,2.21,0.126,1.529,0.381,0.242,119,185,
Ocotea pulchella,OCPU,1,RR10453,50.64,1.89,0.092,0.332,0.282,0.201,106,193,
Ocotea pulchella,OCPU,2,RR10454,50.62,1.85,0.086,0.337,0.172,0.153,90,147,
Ocotea pulchella,OCPU,3,RR10455,50.87,1.78,0.089,0.345,0.204,0.175,120,193,
Ocotea velloziana,OCVE,1,RR10579,50.46,2.61,0.164,0.867,0.922,0.153,226,255,
Ocotea velloziana,OCVE,2,RR10580,49.63,2.31,0.123,1.105,0.571,0.213,152,213,
Ocotea velloziana,OCVE,3,RR10581,49.63,2.40,0.108,0.839,0.639,0.275,249,280,
Ouratea spectabilis,OUSP,1,RR10456,48.70,1.81,0.104,0.758,0.711,0.214,79,102,
Ouratea spectabilis,OUSP,2,RR10457,48.48,1.35,0.094,0.398,0.433,0.240,58,56,
