IndCode,LeafNum,L,W,H,Comments,,
KICO1,3,13.30,2.20,2.62,,,
OUSP1,2,11.57,4.55,2.62,,,
ASTO4,4,13.81,4.18,2.61,,,
TOFO2,5,9.90,8.23,2.61,,,
AMIN3,4,10.39,1.99,2.61,,,
LUCA1,3,10.84,4.33,2.61,,,
SIGU3,3,13.86,4.93,2.60,,,
SYPU2,5,10.84,3.09,2.60,,,
AEVE2,2,12.15,4.66,2.60,,,
FAMO2,4,14.07,5.43,2.60,,,
ERTO1,5,10.20,1.24,2.59,,,
FAMO2,3,11.55,3.58,2.59,,,
GOPO2,1,10.50,2.38,2.58,,,
GOBA3,2,11.93,8.69,2.58,,,
OUSP1,1,12.34,6.42,2.58,,,
LUGR1,2,13.07,7.62,2.57,,,
AEVE2,4,12.56,5.35,2.57,,,
LAHA2,3,11.36,3.77,2.57,,,
PRHE1,2,12.26,2.09,2.56,,,
PIRO3,2,12.70,6.20,2.55,,,
STFE1,5,8.74,4.21,2.55,,,
ERSU1,1,9.37,3.50,2.54,,,
CABR2,4,7.74,4.22,2.54,,,
ASTO2,2,14.18,6.12,2.54,,,
MYTO2,2,9.30,2.31,2.53,,,
SYPU2,2,12.22,2.36,2.51,,,
RALA1,1,5.03,1.00,2.51,,,
ASTO3,1,15.00,6.60,2.50,,,
TAOC1,2,17.50,6.50,2.50,,,
ALED1,2,12.12,6.56,2.50,,,
ASTO2,4,15.10,5.59,2.50,,,
TAAU3,5,15.40,2.80,2.50,,,
MYLI3,3,14.07,3.17,2.50,,,
KICO2,3,16.80,4.50,2.49,,,
MIAL3,4,8.27,3.18,2.49,,,
SIGU1,5,10.40,4.70,2.48,,,
MYLI2,1,10.35,1.83,2.48,,,
OUSP3,4,9.96,6.05,2.48,,,
MYGU1,3,11.46,6.30,2.47,,,
TOAC3,3,14.25,2.69,2.47,,,
ERGR1,5,11.51,4.56,2.47,,,
ANCA2,4,19.00,4.04,2.47,,,
ERGR3,1,8.96,3.20,2.46,,,
GUNI3,3,11.70,3.72,2.46,,,
CABR1,5,11.08,7.47,2.45,,,
NECU2,2,10.58,2.47,2.45,,,
SCVI3,3,13.18,1.35,2.45,,,
VOTU2,1,9.08,3.22,2.44,,,
TAGU2,3,13.71,3.94,2.44,,,
AMIN3,3,13.25,2.83,2.44,,,
MYGU2,4,10.73,5.30,2.44,,,
ERGR1,4,12.33,5.11,2.44,,,
QUMU3,5,14.35,4.35,2.43,,,
DIBU1,4,15.00,4.33,2.42,,,
MYLI1,3,15.23,4.53,2.41,,,
ERSU2,4,9.06,3.51,2.41,,,
CAAD3,4,7.11,1.26,2.41,,,
CAGU3,3,9.06,2.83,2.41,,,
ZETU2,4,21.00,10.50,2.40,,,
BARU2,1,10.60,7.18,2.40,,,
QUGR1,4,15.00,4.80,2.39,,,
ERGR2,4,9.91,5.24,2.39,,,
ERSU3,5,8.37,3.10,2.38,,,
ROMO2,5,18.30,9.64,2.38,,,
FAMO3,3,11.27,2.91,2.38,,,
MYLI1,2,14.09,4.21,2.37,,,
GOPO1,3,12.75,4.28,2.36,,,
SIGU3,2,12.67,2.52,2.36,,,
TAOC2,2,12.14,2.55,2.36,,,
TEGL2,2,8.66,3.62,2.36,,,
LUCA1,4,9.07,4.42,2.36,,,
ALED1,4,9.69,6.89,2.33,,,
ZEMO3,4,8.83,2.90,2.33,,,
ZIMO1,1,11.33,2.97,2.32,,,
AEVE3,2,14.40,4.30,2.32,,,
DUFU2,5,8.73,3.61,2.32,,,
TOAC3,4,14.57,2.78,2.32,,,
AMIN3,5,15.35,6.41,2.32,,,
FAMO3,4,15.10,5.35,2.31,,,
LAHA3,3,15.49,3.70,2.31,,,
LUCA3,3,11.39,5.57,2.31,,,
AEVE3,1,17.80,6.20,2.29,,,
ROMO1,3,15.10,7.80,2.29,,,
QUGR1,2,12.50,5.30,2.29,,,
STCA1,4,11.46,4.21,2.29,,,
ASTO5,5,11.20,5.16,2.28,,,
TOFO1,3,15.40,8.90,2.27,,,
NECU1,3,14.22,4.07,2.27,,,
QUGR1,1,12.95,4.04,2.27,,,
LAHA3,4,11.46,1.71,2.27,,,
ERTO3,4,12.03,3.14,2.27,,,
MAGU3,5,6.97,2.89,2.26,,,
ALED2,5,10.55,4.07,2.26,,,
STPO2,2,15.58,2.65,2.26,,,
ZEMO2,3,19.00,2.39,2.25,,,
TAGU2,5,8.45,2.34,2.24,,,
NECU3,1,20.00,3.16,2.24,,,
PRHE3,3,7.50,3.18,2.24,,,
TOFO1,4,10.70,5.40,2.23,,,
ERTO1,1,15.30,2.13,2.23,,,
SIGU3,2,16.30,5.98,2.23,,,
POTO2,4,12.07,3.87,2.23,,,
